simID	f0	f1	f2	f3	S_m	thetapi_m	thetaw_m	thetah_m	hprime_m	tajimasd_m	numSing_m	hapdiv_m	rsq_m	D_m	Dprime_m	div_m	S_sd	thetapi_sd	thetaw_sd	thetah_sd	hprime_sd	tajimasd_sd	numSing_sd	hapdiv_sd	rsq_sd	D_sd	Dprime_sd	div_sd
sim141	0.7	0.2	0.0	0.1	99.5	0.00875	0.00575	0.00435	1.18515	1.52994	0.0	0.70454	0.20726	0.02114	-0.2152	0.19927	33.60901	0.00345	0.00194	0.00271	0.38548	1.0891	0.0	0.02472	0.07287	0.02327	0.33574	0.00803
sim142	0.4	0.1	0.45	0.05	605.98	0.0119	0.03499	0.00561	0.2978	-1.89526	0.0	0.73673	0.0203	0.00106	-0.808	0.20736	116.75711	0.00378	0.00674	0.00358	0.10462	0.36884	0.0	0.01762	0.00701	0.00134	0.11306	0.00906
sim143	0.6	0.2	0.1	0.1	1278.45	0.02966	0.07382	0.01416	0.35345	-1.74986	0.0	0.74351	0.02199	0.00135	-0.76894	0.23318	226.64707	0.00985	0.01309	0.00823	0.11516	0.34299	0.0	0.01419	0.00728	0.00126	0.10688	0.01371
sim144	0.85	0.1	0.0	0.05	81.64	0.00655	0.00471	0.00315	1.1103	1.11457	0.0	0.71812	0.1738	0.01989	-0.25173	0.18462	23.61626	0.00266	0.00136	0.00227	0.30979	1.11561	0.0	0.02114	0.0598	0.01829	0.33633	0.00891
sim145	0.7	0.05	0.2	0.05	1182.82	0.02754	0.0683	0.01387	0.33392	-1.73782	0.0	0.74302	0.02223	0.00148	-0.77466	0.23741	214.59741	0.00921	0.01239	0.0079	0.13118	0.38698	0.0	0.01732	0.00853	0.00172	0.1307	0.0148
sim146	0.9	0.05	0.0	0.05	201.71	0.01638	0.01165	0.00767	1.16313	1.0903	0.0	0.72635	0.17418	0.01931	-0.28669	0.21788	62.61753	0.00818	0.00362	0.00604	0.35567	1.26633	0.0	0.01693	0.06413	0.02122	0.3455	0.01398
sim147	0.35	0.05	0.25	0.35	539.41	0.00778	0.03115	0.00291	0.25911	-2.18322	0.0	0.74421	0.01411	0.0005	-0.85643	0.17401	84.80103	0.00254	0.0049	0.0022	0.06402	0.23133	0.0	0.01502	0.0038	0.00059	0.06534	0.0086
sim148	0.3	0.05	0.45	0.2	512.9	0.00822	0.02961	0.00327	0.27616	-2.09861	0.0	0.7398	0.01593	0.00056	-0.84786	0.17771	97.49411	0.00247	0.00563	0.00207	0.07304	0.22829	0.0	0.01613	0.00327	0.00047	0.06062	0.00864
sim149	0.25	0.2	0.1	0.45	553.6	0.00739	0.03196	0.00248	0.25381	-2.23858	0.0	0.74669	0.01306	0.00037	-0.87562	0.17188	77.96723	0.00255	0.0045	0.00203	0.06978	0.22544	0.0	0.01598	0.00313	0.00043	0.05806	0.00754
sim150	0.3	0.15	0.15	0.4	596.73	0.00775	0.03446	0.00261	0.24744	-2.25602	0.0	0.74627	0.01286	0.00036	-0.87985	0.17671	80.86275	0.0021	0.00467	0.00206	0.06059	0.19817	0.0	0.01526	0.00238	0.00038	0.05218	0.00776
sim151	0.45	0.35	0.0	0.2	1326.49	0.02632	0.07659	0.01079	0.33372	-1.93524	0.0	0.74691	0.01831	0.00106	-0.81125	0.22025	201.66697	0.01171	0.01164	0.0083	0.14056	0.37992	0.0	0.01418	0.00668	0.00104	0.10734	0.01584
sim152	0.55	0.25	0.05	0.15	1339.47	0.03093	0.07734	0.01428	0.35806	-1.76395	0.0	0.74552	0.02144	0.00129	-0.78449	0.22508	216.69839	0.01284	0.01251	0.00991	0.14682	0.42921	0.0	0.01569	0.0085	0.00137	0.12033	0.01765
sim153	0.0	0.55	0.35	0.1	575.56	0.01088	0.03323	0.00497	0.29537	-1.94185	0.0	0.73812	0.01979	0.00098	-0.80967	0.2007	122.46156	0.00368	0.00707	0.00337	0.10725	0.3325	0.0	0.01687	0.00609	0.00103	0.09409	0.00931
