simID	f0	f1	f2	f3	S_m	thetapi_m	thetaw_m	thetah_m	hprime_m	tajimasd_m	numSing_m	hapdiv_m	rsq_m	D_m	Dprime_m	div_m	S_sd	thetapi_sd	thetaw_sd	thetah_sd	hprime_sd	tajimasd_sd	numSing_sd	hapdiv_sd	rsq_sd	D_sd	Dprime_sd	div_sd
sim468	0.75	0.05	0.2	0.0	483.59	0.00322	0.00397	0.00112	0.89994	-0.60984	0.0	0.73893	0.11909	0.00943	-0.43785	0.83716	112.02264	0.00081	0.00092	0.00051	0.16787	0.51833	0.0	0.05474	0.0222	0.00671	0.16824	0.00255
sim469	0.25	0.25	0.5	0.0	339.2	0.00204	0.00279	0.00072	0.80823	-0.86047	0.0	0.74074	0.1099	0.00746	-0.49725	0.80392	71.70619	0.00043	0.00059	0.00039	0.16857	0.46854	0.0	0.0471	0.02651	0.00638	0.17933	0.00256
sim470	0.5	0.5	0.0	0.0	671.86	0.00479	0.00552	0.00174	0.93934	-0.43593	0.0	0.74049	0.12951	0.01056	-0.40807	0.8511	132.50485	0.00108	0.00109	0.00076	0.18426	0.46544	0.0	0.0476	0.02512	0.00681	0.16209	0.00228
sim471	0.4	0.5	0.05	0.05	550.53	0.00373	0.00452	0.00134	0.90571	-0.5564	0.0	0.73993	0.12303	0.00938	-0.44738	0.83079	107.4014	0.00076	0.00088	0.00064	0.15441	0.50147	0.0	0.04767	0.02834	0.00786	0.18691	0.00254
sim472	0.4	0.1	0.0	0.5	273.49	0.00215	0.00225	0.00079	1.02312	-0.1194	0.0	0.739	0.15045	0.01362	-0.34656	0.62728	62.0066	0.00059	0.00051	0.00036	0.27075	0.54958	0.0	0.04921	0.03729	0.00897	0.1652	0.00338
sim473	0.05	0.6	0.2	0.15	341.31	0.00225	0.00281	0.00083	0.85245	-0.62092	0.0	0.74128	0.11995	0.0085	-0.465	0.77319	81.06597	0.00049	0.00067	0.00039	0.16603	0.49284	0.0	0.04996	0.02373	0.00679	0.18291	0.00299
sim474	0.05	0.25	0.2	0.5	169.34	0.00117	0.00139	0.00044	0.86925	-0.51535	0.0	0.7416	0.1271	0.01	-0.42378	0.57204	37.31607	0.00028	0.00031	0.00022	0.1823	0.49337	0.0	0.0488	0.0311	0.00805	0.19853	0.00285
sim475	0.3	0.1	0.2	0.4	227.48	0.00157	0.00187	0.00064	0.83029	-0.49468	0.0	0.74065	0.12856	0.01053	-0.41878	0.64982	52.62973	0.00038	0.00043	0.00033	0.19767	0.53129	0.0	0.04488	0.02926	0.00858	0.20149	0.0032
sim476	0.3	0.3	0.15	0.25	322.43	0.00216	0.00265	0.0008	0.87628	-0.55767	0.0	0.73615	0.12699	0.01068	-0.41999	0.74056	72.95249	0.00052	0.0006	0.00041	0.18504	0.64105	0.0	0.05118	0.03313	0.00874	0.2141	0.00289
sim477	0.75	0.05	0.15	0.05	499.46	0.00348	0.00411	0.00128	0.91355	-0.49655	0.0	0.74535	0.12548	0.01073	-0.41857	0.82701	101.87955	0.00082	0.00084	0.00059	0.19093	0.48433	0.0	0.04678	0.02729	0.00765	0.18628	0.00232
sim478	0.15	0.85	0.0	0.0	637.7	0.00436	0.00524	0.00156	0.91041	-0.53543	0.0	0.74325	0.11967	0.00926	-0.44576	0.84572	136.43724	0.00095	0.00112	0.0007	0.15613	0.47988	0.0	0.04219	0.02504	0.00723	0.17899	0.00227
sim479	0.0	0.3	0.65	0.05	265.54	0.00159	0.00218	0.00058	0.78834	-0.84482	0.0	0.73828	0.11175	0.00759	-0.50242	0.76817	60.25894	0.00034	0.0005	0.0003	0.16	0.53009	0.0	0.05241	0.02649	0.00689	0.18944	0.00264
sim480	0.3	0.15	0.55	0.0	314.88	0.00197	0.00259	0.00071	0.82052	-0.76142	0.0	0.7399	0.11786	0.00844	-0.47364	0.79989	70.67828	0.00043	0.00058	0.00037	0.17385	0.50514	0.0	0.06337	0.02935	0.00795	0.20665	0.00283
sim481	0.05	0.25	0.45	0.25	226.41	0.00143	0.00186	0.00053	0.81636	-0.74253	0.0	0.74053	0.11512	0.00822	-0.47426	0.69569	49.84382	0.00035	0.00041	0.00027	0.16382	0.51852	0.0	0.04576	0.02474	0.00745	0.18976	0.00357
sim482	0.0	0.4	0.0	0.6	188.46	0.0014	0.00155	0.0005	0.98163	-0.30131	0.0	0.72866	0.14318	0.0124	-0.37736	0.53445	41.17747	0.00037	0.00034	0.00024	0.21016	0.56147	0.0	0.05655	0.03554	0.00816	0.18273	0.00362
sim483	0.3	0.3	0.4	0.0	352.76	0.00221	0.0029	0.00079	0.83801	-0.74798	0.0	0.73539	0.11497	0.00857	-0.4674	0.81259	70.03378	0.00042	0.00058	0.00038	0.15251	0.52756	0.0	0.05054	0.0275	0.00771	0.19598	0.00255
sim484	0.0	0.3	0.5	0.2	230.55	0.00146	0.00189	0.00053	0.82424	-0.73184	0.0	0.73539	0.11582	0.00937	-0.45635	0.71514	47.23921	0.0003	0.00039	0.00027	0.16137	0.45948	0.0	0.04931	0.02438	0.00816	0.21866	0.00306
sim485	0.05	0.5	0.45	0.0	337.32	0.00207	0.00277	0.00072	0.81826	-0.82638	0.0	0.74485	0.11059	0.00791	-0.48874	0.80584	77.93002	0.00049	0.00064	0.00032	0.16966	0.4578	0.0	0.05003	0.02049	0.00663	0.18728	0.00256
sim486	0.35	0.0	0.55	0.1	275.71	0.00169	0.00227	0.00059	0.82315	-0.80259	0.0	0.73707	0.11406	0.00907	-0.46389	0.76167	62.82094	0.00036	0.00052	0.00026	0.14672	0.47392	0.0	0.04316	0.02442	0.00722	0.19792	0.00316
sim487	0.15	0.8	0.0	0.05	596.72	0.00406	0.0049	0.00152	0.88526	-0.56397	0.0	0.74539	0.12015	0.009	-0.44576	0.83147	113.70217	0.00088	0.00093	0.00071	0.17896	0.47968	0.0	0.04901	0.02105	0.00636	0.15352	0.00266
sim488	0.25	0.2	0.05	0.5	231.96	0.00171	0.00191	0.00065	0.93446	-0.31483	0.0	0.74221	0.13731	0.01216	-0.38061	0.60976	56.94423	0.00046	0.00047	0.0003	0.20319	0.56396	0.0	0.04873	0.03152	0.00949	0.20495	0.00299
sim489	0.05	0.0	0.6	0.35	166.89	0.00101	0.00137	0.00037	0.77572	-0.8135	0.0	0.74228	0.11391	0.0077	-0.49579	0.61254	38.76448	0.00022	0.00032	0.00021	0.15547	0.55851	0.0	0.04765	0.02724	0.00825	0.20599	0.00336
sim490	0.2	0.45	0.15	0.2	339.8	0.00234	0.00279	0.0009	0.8757	-0.51737	0.0	0.74448	0.11988	0.00967	-0.43133	0.7609	67.85978	0.00049	0.00056	0.00041	0.16991	0.50772	0.0	0.04542	0.02323	0.00759	0.1899	0.00248
sim491	0.2	0.0	0.6	0.2	217.77	0.00139	0.00179	0.00055	0.79409	-0.70139	0.0	0.73481	0.11526	0.00847	-0.47058	0.70611	48.52571	0.0003	0.0004	0.00027	0.17677	0.48855	0.0	0.0511	0.02423	0.00708	0.19533	0.00282
sim492	0.2	0.05	0.05	0.7	128.12	0.00094	0.00105	0.00034	0.95032	-0.3273	0.0	0.72778	0.14136	0.01244	-0.37196	0.43133	31.93595	0.00028	0.00026	0.00019	0.20451	0.60483	0.0	0.05461	0.03383	0.00758	0.17686	0.0032
sim493	0.25	0.2	0.45	0.1	292.86	0.0019	0.00241	0.00072	0.8309	-0.66358	0.0	0.74475	0.1168	0.00892	-0.45539	0.77026	61.9754	0.0004	0.00051	0.00034	0.18592	0.49452	0.0	0.05352	0.02601	0.0074	0.19339	0.00264
sim494	0.25	0.25	0.45	0.05	320.35	0.00205	0.00263	0.00075	0.84157	-0.70322	0.0	0.73938	0.11499	0.00865	-0.45837	0.79024	69.95863	0.00044	0.00057	0.00035	0.16966	0.49636	0.0	0.04641	0.02396	0.00648	0.18095	0.00281
sim495	0.35	0.2	0.4	0.05	346.27	0.00219	0.00285	0.00083	0.82207	-0.72014	0.0	0.74295	0.1148	0.00796	-0.47883	0.79646	75.01163	0.00043	0.00062	0.00034	0.18371	0.51437	0.0	0.04688	0.02796	0.00644	0.17667	0.00249
sim496	0.4	0.15	0.45	0.0	333.02	0.00219	0.00274	0.00089	0.80221	-0.63407	0.0	0.74727	0.11679	0.00849	-0.46492	0.81016	69.47479	0.00044	0.00057	0.00039	0.17829	0.47843	0.0	0.04787	0.02316	0.00722	0.20062	0.00274
sim497	0.1	0.25	0.25	0.4	204.09	0.00138	0.00168	0.00053	0.84765	-0.55606	0.0	0.74597	0.12423	0.00864	-0.46368	0.63591	48.83431	0.00035	0.0004	0.00028	0.18759	0.47303	0.0	0.04935	0.02421	0.00651	0.17084	0.00321
sim498	0.15	0.0	0.3	0.55	129.68	0.00089	0.00107	0.00034	0.8602	-0.51221	0.0	0.73914	0.12861	0.01054	-0.41459	0.51185	26.38598	0.00019	0.00022	0.00018	0.20741	0.53438	0.0	0.05111	0.02682	0.00793	0.19946	0.00318
sim499	0.1	0.0	0.75	0.15	217.31	0.00129	0.00179	0.00049	0.75767	-0.84329	0.0	0.75093	0.10953	0.00691	-0.52507	0.71305	60.22428	0.0003	0.00049	0.00024	0.17318	0.58747	0.0	0.04333	0.02737	0.00763	0.19468	0.00272
sim500	0.0	0.25	0.05	0.7	115.24	0.00086	0.00095	0.00033	0.91011	-0.29981	0.0	0.74293	0.14063	0.01242	-0.36827	0.42308	21.44343	0.00021	0.00018	0.00016	0.20922	0.52432	0.0	0.0434	0.03479	0.00931	0.19441	0.0037
